timestamp,open,high,low,close,volume
2024-10-06 00:00:00,61889.7,61924,61873.44,61882.23,0.35885936
2024-10-06 00:01:00,61885.69,61924,61884,61910.06,0.75224104
2024-10-06 00:02:00,61910.14,61924,61894.4,61917.2,0.33132593
2024-10-06 00:03:00,61913.62,61938,61909.31,61921.87,0.41347876
2024-10-06 00:04:00,61921.29,61922.71,61894.5,61894.5,0.16903179
2024-10-06 00:05:00,61894.5,61922,61893.91,61907.31,1.08431097
2024-10-06 00:06:00,61901.6,61921.4,61894.5,61917.23,0.58474004
2024-10-06 00:07:00,61917.23,61942,61894.4,61926.11,0.27194353
2024-10-06 00:08:00,61924.01,61929.25,61894.4,61918,0.13009474
2024-10-06 00:09:00,61924.87,61930.73,61894.4,61924.18,0.38544386
2024-10-06 00:10:00,61924.17,61950,61893.26,61893.26,0.25574076
2024-10-06 00:11:00,61893.26,61894.5,61883.76,61891.12,0.48432261
2024-10-06 00:12:00,61887.03,61943,61882.55,61883.05,0.27361369
2024-10-06 00:13:00,61883.05,61938,61880.2,61881,1.28205147
2024-10-06 00:14:00,61881,61894.5,61881,61892.26,0.63517267
2024-10-06 00:15:00,61892.26,61897,61885,61896,0.13488299
2024-10-06 00:16:00,61890.85,61896,61887.1,61892.25,0.80203988
2024-10-06 00:17:00,61892.23,61926.35,61892.15,61919.8,0.94856335
2024-10-06 00:18:00,61921.04,61950.26,61894.5,61947.91,8.27213337
2024-10-06 00:19:00,61947.91,61973,61894.5,61973,0.78468044
2024-10-06 00:20:00,61958.22,61958.23,61912.6,61943.32,0.43675486
2024-10-06 00:21:00,61943.32,61947.8,61912.7,61926.91,0.13436212
2024-10-06 00:22:00,61912.7,61936.64,61912.6,61928.4,0.69200293
2024-10-06 00:23:00,61928.4,61972,61912.6,61968,1.38023947
2024-10-06 00:24:00,61919.23,61924,61912.7,61916.3,0.83861537
2024-10-06 00:25:00,61916.3,61924,61912.06,61916.31,0.73460155
2024-10-06 00:26:00,61916.3,61924,61910.07,61917.29,0.87187026
2024-10-06 00:27:00,61917.32,61919.8,61912.6,61917.33,0.61152015
2024-10-06 00:28:00,61917.32,61925.57,61912.7,61923.4,0.62231704
