Date,Open,High,Low,Close,Adj Close,Volume
2024-09-24,604.3660278320312,612.6076049804688,600.2676391601562,606.5230712890625,606.5230712890625,1904808937
2024-09-25,606.5230712890625,607.762939453125,584.8588256835938,587.3525390625,587.3525390625,1744393946
2024-09-26,587.3513793945312,608.8541870117188,581.2283325195312,596.7769165039062,596.7769165039062,2081857126
2024-09-27,596.7769165039062,614.4735107421875,596.5009765625,607.8670043945312,607.8670043945312,2144197609
2024-09-28,607.8670043945312,617.3323974609375,595.207763671875,601.5671997070312,601.5671997070312,1858159482
2024-09-29,601.5671997070312,602.660400390625,593.0492553710938,596.4111938476562,596.4111938476562,1649655134
2024-09-30,596.4111938476562,596.4414672851562,564.6533203125,567.2600708007812,567.2600708007812,1978021598
2024-10-01,567.2600708007812,582.4347534179688,538.4796142578125,547.9971313476562,547.9971313476562,2124076272
2024-10-02,547.9971313476562,557.9986572265625,536.1533203125,542.7123413085938,542.7123413085938,1821113448
2024-10-03,542.7123413085938,550.507568359375,535.380615234375,544.4249877929688,544.4249877929688,1611934612
2024-10-04,544.4249877929688,557.4121704101562,542.2801513671875,555.3842163085938,555.3842163085938,1518084330
2024-10-05,555.3842163085938,564.8151245117188,552.3409423828125,563.2091674804688,563.2091674804688,1426434745
2024-10-06,563.2091674804688,571.430419921875,561.5877685546875,570.542724609375,570.542724609375,1416593714
2024-10-07,570.542724609375,580.9834594726562,564.1204223632812,564.1497192382812,564.1497192382812,1703177011
2024-10-08,564.1497192382812,585.9742431640625,560.2928466796875,580.4038696289062,580.4038696289062,2143563900
2024-10-09,580.4038696289062,585.0736694335938,567.143798828125,570.2771606445312,570.2771606445312,1913652029
2024-10-10,570.27685546875,572.0607299804688,551.783203125,562.7257690429688,562.7257690429688,1559089785
2024-10-11,562.7257690429688,577.1348266601562,560.0671997070312,572.8572387695312,572.8572387695312,1622508791
2024-10-12,572.8572387695312,578.7108154296875,572.8572387695312,576.4497680664062,576.4497680664062,1482994534
2024-10-13,576.4497680664062,578.0640258789062,565.1304931640625,571.8217163085938,571.8217163085938,1472484694
2024-10-14,571.8217163085938,591.4108276367188,569.9707641601562,588.9004516601562,588.9004516601562,1825783992
2024-10-15,588.9004516601562,598.8892822265625,578.4895629882812,594.189208984375,594.189208984375,2040945899
2024-10-16,594.189208984375,605.1041870117188,589.9337768554688,600.8178100585938,600.8178100585938,1918592073
2024-10-17,600.8178100585938,605.8289794921875,585.7150268554688,592.0396118164062,592.0396118164062,1739191571
2024-10-18,592.0396118164062,602.1707153320312,591.6998291015625,599.364990234375,599.364990234375,1638190792
2024-10-19,599.364990234375,600.9993286132812,595.72705078125,597.9749145507812,597.9749145507812,1432675869
2024-10-20,597.9749145507812,606.3153686523438,593.7393188476562,605.517822265625,605.517822265625,1608355248
2024-10-21,605.517822265625,610.9203491210938,591.6964721679688,598.8175659179688,598.8175659179688,1917193200
2024-10-22,598.8175659179688,599.5232543945312,587.2017211914062,593.3606567382812,593.3606567382812,1739710555
2024-10-23,593.3606567382812,593.810791015625,573.0883178710938,582.473388671875,582.473388671875,1719055847
2024-10-24,584.6204223632812,593.556884765625,583.4229736328125,591.4457397460938,591.4457397460938,1689723904
