Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-25 15:30:00+00:00,2619.01611328125,2619.01611328125,2612.392578125,2612.392578125,2612.392578125,0
2024-09-25 15:35:00+00:00,2609.53759765625,2616.946533203125,2609.53759765625,2616.946533203125,2616.946533203125,58539008
2024-09-25 15:40:00+00:00,2615.218994140625,2615.7158203125,2612.579345703125,2612.579345703125,2612.579345703125,645120
2024-09-25 15:45:00+00:00,2612.28271484375,2612.4208984375,2607.484619140625,2607.484619140625,2607.484619140625,0
2024-09-25 15:50:00+00:00,2606.10546875,2606.10546875,2605.779052734375,2605.779052734375,2605.779052734375,19602432
2024-09-25 15:55:00+00:00,2606.920654296875,2606.920654296875,2598.315673828125,2600.018798828125,2600.018798828125,25391104
2024-09-25 16:00:00+00:00,2600.666748046875,2602.326416015625,2600.1943359375,2600.310302734375,2600.310302734375,0
2024-09-25 16:05:00+00:00,2598.27734375,2602.3046875,2595.2421875,2602.3046875,2602.3046875,75909120
2024-09-25 16:10:00+00:00,2602.70654296875,2602.70654296875,2599.031494140625,2600.158203125,2600.158203125,93447168
2024-09-25 16:15:00+00:00,2599.6865234375,2601.292236328125,2599.202880859375,2599.53662109375,2599.53662109375,32311296
2024-09-25 16:20:00+00:00,2600.60205078125,2602.457763671875,2600.60205078125,2601.306884765625,2601.306884765625,13960192
2024-09-25 16:25:00+00:00,2603.53662109375,2604.11572265625,2602.361328125,2604.11572265625,2604.11572265625,0
2024-09-25 16:30:00+00:00,2605.613525390625,2606.123046875,2602.9775390625,2602.9775390625,2602.9775390625,7615488
2024-09-25 16:35:00+00:00,2605.29443359375,2608.046142578125,2605.29443359375,2608.008056640625,2608.008056640625,0
2024-09-25 16:40:00+00:00,2607.141845703125,2607.141845703125,2605.16064453125,2605.7060546875,2605.7060546875,0
2024-09-25 16:45:00+00:00,2605.664306640625,2605.664306640625,2600.478759765625,2600.478759765625,2600.478759765625,0
2024-09-25 16:50:00+00:00,2599.634765625,2603.477783203125,2599.634765625,2603.477783203125,2603.477783203125,0
2024-09-25 16:55:00+00:00,2603.138671875,2603.138671875,2599.771240234375,2599.895263671875,2599.895263671875,0
2024-09-25 17:00:00+00:00,2599.92578125,2601.82568359375,2599.353271484375,2601.82568359375,2601.82568359375,0
2024-09-25 17:05:00+00:00,2601.89013671875,2601.89013671875,2598.10791015625,2598.10791015625,2598.10791015625,16523264
2024-09-25 17:10:00+00:00,2596.8515625,2597.728271484375,2596.2578125,2597.728271484375,2597.728271484375,0
2024-09-25 17:15:00+00:00,2596.693603515625,2596.9296875,2590.487060546875,2591.307373046875,2591.307373046875,8758272
